"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/12","US-FL","Florida","Count_Person","1963","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",5628000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1964","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",5781000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1965","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",5954000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1966","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",6104000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1967","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",6242000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1968","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",6433000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1969","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",6641000,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1970","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",6791418,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1971","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",7158304,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1972","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",7511463,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1973","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",7913696,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1974","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",8298762,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1975","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",8518422,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1976","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",8667379,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1977","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",8856183,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1978","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",9102032,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1979","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",9426159,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1980","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",9746324,"Total Population"
"geoId/12","US-FL","Florida","Count_Person","1981","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",10192774,"Total Population"
