"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1997-08","BLS_QCEW","https://www.bls.gov/qcew/","","","",692,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1997-09","BLS_QCEW","https://www.bls.gov/qcew/","","","",713,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1997-10","BLS_QCEW","https://www.bls.gov/qcew/","","","",738,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1997-11","BLS_QCEW","https://www.bls.gov/qcew/","","","",706,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1997-12","BLS_QCEW","https://www.bls.gov/qcew/","","","",694,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1998-01","BLS_QCEW","https://www.bls.gov/qcew/","","","",616,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1998-02","BLS_QCEW","https://www.bls.gov/qcew/","","","",604,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1998-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",583,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1998-04","BLS_QCEW","https://www.bls.gov/qcew/","","","",605,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1998-05","BLS_QCEW","https://www.bls.gov/qcew/","","","",599,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1998-06","BLS_QCEW","https://www.bls.gov/qcew/","","","",623,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1998-07","BLS_QCEW","https://www.bls.gov/qcew/","","","",652,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1998-08","BLS_QCEW","https://www.bls.gov/qcew/","","","",667,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1998-09","BLS_QCEW","https://www.bls.gov/qcew/","","","",678,"Population of Person: Fishing (NAICS/1141)"
